movement,block,trial
lateral,0,0
open,0,1
tripod,0,2
power,0,3
power,0,4
power,0,5
pointer,0,6
tripod,0,7
pointer,0,8
power,0,9
tripod,0,10
open,0,11
lateral,0,12
pointer,0,13
open,0,14
lateral,0,15
pointer,0,16
tripod,0,17
open,0,18
lateral,0,19
