movement,block,trial
tripod,0,0
pointer,0,1
pointer,0,2
open,0,3
power,0,4
power,0,5
pointer,0,6
lateral,0,7
pointer,0,8
open,0,9
open,0,10
tripod,0,11
power,0,12
lateral,0,13
lateral,0,14
open,0,15
lateral,0,16
tripod,0,17
power,0,18
tripod,0,19
