movement,block,trial
power,0,0
pointer,0,1
lateral,0,2
lateral,0,3
lateral,0,4
tripod,0,5
open,0,6
power,0,7
pointer,0,8
pointer,0,9
pointer,0,10
power,0,11
open,0,12
tripod,0,13
open,0,14
tripod,0,15
lateral,0,16
power,0,17
tripod,0,18
open,0,19
