movement,block,trial
power,0,0
tripod,0,1
open,0,2
power,0,3
lateral,0,4
pointer,0,5
tripod,0,6
lateral,0,7
power,0,8
open,0,9
open,0,10
pointer,0,11
open,0,12
tripod,0,13
lateral,0,14
pointer,0,15
lateral,0,16
pointer,0,17
power,0,18
tripod,0,19
