movement,block,trial
open,0,0
power,0,1
pointer,0,2
tripod,0,3
tripod,0,4
lateral,0,5
open,0,6
pointer,0,7
pointer,0,8
open,0,9
power,0,10
tripod,0,11
power,0,12
lateral,0,13
tripod,0,14
lateral,0,15
lateral,0,16
power,0,17
pointer,0,18
open,0,19
